Handle,Display Name,DID,Follows Me
1kzz.bsky.social,𝙠 ̶𝙯 ̶.•🍁,did:plc:v4maxlmza5pfdbvuxokq7vrl,False
lexusvnexus.bsky.social,LexusNexus,did:plc:oh55b34dlwjph7nmbtjucjcf,True
paisleybearx.bsky.social,Paisley,did:plc:hacmxqdtjnu3qwkicpmszjzh,False
jen23qw2.bsky.social,Jenny_BEE,did:plc:sewbj37aj6reycz4ojdtgpvs,False
soozuk.bsky.social,Sooz Kempner,did:plc:ifpzbxv4tqigkw66tz4yrojt,False
rob1davis.bsky.social,Rob Davis,did:plc:hflyoyyc73lxooso6rc6spyf,False
kumail.bsky.social,Kumail Nanjiani,did:plc:gocmmddhwq22kyammex4ixfm,False
diedrichbader.bsky.social,Diedrich Bader,did:plc:dsluo4ff7pw2qw2vvbd4rlk3,False
gregproops.bsky.social,Greg Proops,did:plc:tswpoexmgyetno3n2jivurnl,False
joewalsh.bsky.social,Joe Walsh,did:plc:yyhgpr3ndswwjfhpw3bukcbs,False
johncusack.bsky.social,John Cusack,did:plc:sxuckgrlkb4n5jfjhzbkwy5e,False
michaelianblack.bsky.social,Michael Ian Black,did:plc:bj26dh6prgrujxowl6zoceh3,False
hodgman.bsky.social,John Hodgman,did:plc:7334ydaavuvnqifa7gyct7sc,False
johngreensbluesky.bsky.social,John Green,did:plc:wwtm5peukhmsjizz3vjkkuxb,False
vancityreynolds.bsky.social,Ryan Reynolds,did:plc:ox4dnvjhgnx3rvzshbtgmd6f,False
flavorflav.bsky.social,FLAVOR FLAV ⏰,did:plc:4ewnpnebeh7zuk5pbardaxqz,False
robdelaney.bsky.social,Rob Delaney,did:plc:lwscu2zqmpig5unnpey25ylt,False
petersagal.bsky.social,Peter Sagal,did:plc:4vrssqepg6uj4tj5us7tnfgt,False
chuckwendig.bsky.social,Chuck Wendig,did:plc:evum3ztvjvpmuc72fd5lhvjd,False
kenjennings.bsky.social,Ken Jennings,did:plc:zbrhmanjs62oyqywjwdazxz3,False
jimmykimmel.bsky.social,Jimmy Kimmel,did:plc:kosjh7qmi6nvwgueswipsapj,False
paulscheer.com,Paul Scheer,did:plc:voly5c7kqgq6lezsil5rjykq,False
jimmyfallon.bsky.social,Jimmy Fallon,did:plc:liq6fguhetsghzyo4cmv5zd4,False
mrrickygervais.bsky.social,Ricky Gervais,did:plc:ftlads4suevqgdni4hxjmawj,False
galeannehurd.bsky.social,Gale Anne Hurd ,did:plc:yu5ssvarf6pamcr2ufvbahqy,False
mariabamford.bsky.social,Maria Bamford,did:plc:o4ej2n6h4fmlwqpevo544ill,False
jordanklepper.bsky.social,Jordan Klepper,did:plc:uyvymakdputvl4elaol5twh2,False
hughhowey.com,Hugh Howey ,did:plc:hhds5cxbf76lbgwk5tl27w4o,False
johnleguizamo.bsky.social,John Leguizamo,did:plc:al3j5igj4jsp75wbbdxtfwml,False
markruffalo.bsky.social,Mark Ruffalo,did:plc:2pdwbxbjzxvkkz6qyxs5rvnx,False
levarburton.bsky.social,LeVar Burton,did:plc:2xslipmnvjxwl64x52l3zmdy,False
quintabrunson.bsky.social,Quinta Brunson,did:plc:rnpfw224gmkxpnhxa4px76ay,False
joshuamalina.bsky.social,Joshua Malina,did:plc:6ohkbqtpofowc23cjirx7bv3,False
busyphilipps.bsky.social,Busy Philipps,did:plc:yi6s6y3x3mpr44ajau4kbgyu,False
hwinkler4real.bsky.social,Henry Winkler,did:plc:7fudodup2d7lqok6v5kgbz5g,False
drewfromtv.bsky.social,Drew Carey,did:plc:cjt246y2cle45wevixzlxbxj,False
lyndacarter.bsky.social,Lynda Carter,did:plc:w3sbvfsdqmbzf4yq4okcifww,False
bradleywhitford.bsky.social,Bradley Whitford ,did:plc:bfcpzcdnsmq2rhh5jkjmlz4u,False
miafarrow.bsky.social,Mia Farrow ,did:plc:jrdunuv53kpblscdnseuzmca,False
johnfugelsang.bsky.social,John Fugelsang,did:plc:aslw5awiodzplmvzhbysxuwp,False
morgfair.bsky.social,@morgfair.bsky.social,did:plc:rtaznoorgjg2jyg3wur4dliq,False
ynb.bsky.social,Yvette Nicole Brown,did:plc:jgjblhaivojvvlqde46qejq3,False
kathygriffin.bsky.social,Kathy Griffin,did:plc:f3hv56gvg32pbcjslk7dixvb,False
neildegrassetyson.com,Neil deGrasse Tyson,did:plc:5qgk3t63cljskprqxedsny6d,False
stephencolbert.bsky.social,Stephen Colbert,did:plc:oywrlvfz7r6xosgcftzj3kci,False
