Handle,Display Name,DID,Follows Me
notaspiring2bhmbl.bsky.social,JoannaC.,did:plc:xcajdhrzp4gmgm4h7ny6rexa,False
rustyvonnail.bsky.social,Pippen,did:plc:wsed4pldo7lcojv5ecgt555y,False
realtaychatlc.bsky.social,Taylor Lianne Chandler,did:plc:oi7qm4v64xpaq4tpi7dbgooo,False
pridenpioneers.bsky.social,priden'pioneer,did:plc:dbccirl5lpxj7n4mdmpiylen,False
blueshelly.bsky.social,Blue Shelly,did:plc:lwhhgob2thvlvge766jxhvlg,False
grammywlee.bsky.social,,did:plc:fjup32xe2bl3g24nvjgpbbhh,False
mom2three.bsky.social,mom2three,did:plc:44xgkdblaqobgrqbtshgjn7j,False
carolyn1948.bsky.social,Carolyn,did:plc:3v4fhezwsw5u624n6sdssa3i,False
resist4747.bsky.social,Richard,did:plc:p7n4bntx7xjp4r4hq7dvreij,False
beserioususa.bsky.social,BeSeriousUSA,did:plc:7ggc3e4ux44k77vdhmxvtik7,False
christine622.bsky.social,✨Christine #MECFS 😷🗽🌸,did:plc:ye7pnhw47qn2mqzgl2j32ozu,False
gypsywoman19710.bsky.social,,did:plc:ofohcnjrfa62x3lkfax2ghpk,False
karenwhiddon.bsky.social,Karen Whiddon,did:plc:ogxkjf6vk3fgxnhuqvxxtgtt,False
chefkaren.bsky.social,Karen D Fosberg,did:plc:ycv4q5ezj2mznvvjr3omfhzp,False
mellian.bsky.social,Mel,did:plc:44dn2vr7dsbrlefovqvxqb2t,False
texasrose.bsky.social,,did:plc:4n7bndan4dydr2vpg4xp4xtf,False
yes-im-art.bsky.social,Yes I’m Art,did:plc:fdrcn6tzvx2kq6xdrnppmg67,False
spark333.bsky.social,🇨🇦Spark🇧🇻,did:plc:rhquix3cd3xrrtvyee6sldjo,False
3puplover.bsky.social,,did:plc:dpjurxpqweg2i5m3voluowrb,False
jonesn.bsky.social,,did:plc:h6kixfhovk67it66g4lrujeh,False
waynesworldauto.bsky.social,WE ARE CHECKS & BALANCES 🌊 💙,did:plc:ukiofxq5z5h7kwjagwrwujyq,False
renzenrenee.bsky.social,RenZenRenee,did:plc:fywawk45tiivey43ahkwr5w3,False
mycatslovemetoo.bsky.social,Evelyn,did:plc:tcy2nuunwyx5ynitqfkny25s,False
adelebiden.bsky.social,Adele Biden,did:plc:y5h4hrc4m44irrtwsfjma6hu,False
cinkelr57.bsky.social,,did:plc:ibyttf4ezfvdyaenlfzfxpdn,False
cindylou121665.bsky.social,,did:plc:mqmybb6ouaphflqbln6pxjvs,False
msb8.bsky.social,Mrs.B1616,did:plc:cbha65ln7m7tabrd4ywennmr,False
msbbarber.bsky.social,,did:plc:r6xk7t3ohlkrsz753vru5jxv,False
smegmamarge.bsky.social,Smegma Marge,did:plc:aukx3afolqgdoeuvevwmkwxi,False
missy2k.bsky.social,Missy2k,did:plc:jfhz5ot4fl6kpfl2boe3orac,False
docqualizer.bsky.social,Lou,did:plc:awqzj5rc7gvbb4nsbpvnetwb,False
joycesurprenant.bsky.social,Joyce Surprenant,did:plc:ljcimi3juu3icjkugh4jax52,False
bigorangeperpwalks.bsky.social,Big Orange Perp Walks of 2024,did:plc:po3bwbxl2ngbhbsdugpo6zgu,False
jklingensmith.bsky.social,J Klingensmith,did:plc:d2hnihaa426juhcecdgtimll,False
marshastoke.bsky.social,Marsha Stoker,did:plc:6auiti6qr5ztqjlmtwjiwq56,False
beaulieubooks.bsky.social,@beaulieubooks,did:plc:fn7v6dr3tjzszwhf7hnxumvm,False
pacisamans.bsky.social,Pacis Amans,did:plc:erymrgpwu7t5exuuawxvgrgh,False
thefactsmatter.bsky.social,Riff2112,did:plc:yp5e3ftah27nfgoghc5zzhzx,False
nobpeck.bsky.social,Librarian to The Man,did:plc:7vrcyetzhiyc6i6x2dqcyhqw,False
yogagem.bsky.social,yogagem.bsky.social,did:plc:rza2sov4f5cjc64ffetzm7jc,False
cherylkartist.bsky.social,Cheryl 🎨,did:plc:zge5sfcf7oxrt3yqeouyqe4x,False
naturalaura.bsky.social,NaturalAura,did:plc:4iiz5owqgdfx235p7yvt5cvq,False
flightyhandful.bsky.social,,did:plc:eyczxc5q2xiuyh2xfnzfrqpr,False
staff2cats.bsky.social,Michelle,did:plc:g7lp2mdzlexoybmafe2hztnx,False
lorettaf.bsky.social,Loretta Faucher,did:plc:abcqcecvlwfxnwtdhnfy2qhl,False
mscharrise.bsky.social,Michele Williams-Smith,did:plc:stp222ds35552gk7u22yhomj,False
nateturner.bsky.social,Nate Turner,did:plc:cu3qardfv4uwvxr6u5omwag7,False
wolfbane1946.bsky.social,,did:plc:4la4xsz2hc2u5r6eulxqnqm2,False
aliciaa77.bsky.social,Alicia A,did:plc:tik6tf4cfutkawxl4o6ff7aq,False
lunaraven1908.bsky.social,Luna Raven Sakurai,did:plc:2cjkzvhzlnqt37vtaxpidu4u,False
junesari.bsky.social,,did:plc:a3mie2ax5nx25dpqrolzowec,False
tristan72.bsky.social,from the hamburger box,did:plc:ecnohxib74lqg5ihwjmzpng5,False
theocracyrus.bsky.social,Harridan,did:plc:266at7g7hcnugnq2ynh62cmu,False
1forest1.bsky.social,Katie,did:plc:wnlbitgpa5uplvnikngtfk6y,False
ladymindful.bsky.social,Christie,did:plc:2zuwmuoxv5ahfcw4trkytrtw,False
gusnlea.bsky.social,Leah,did:plc:egarigof2qok5vfr4kquvmym,False
astre6925.bsky.social,,did:plc:2cqaf3yrouzsqefx3z4be2bg,False
catladynaomi.bsky.social,Naomi,did:plc:eyljs2hnr2xifpziz6lfntr4,False
willowcatv90.bsky.social,,did:plc:2hfcodnbr4z3czriueax5eqb,False
lisalarue.bsky.social,Lisa LaRue,did:plc:myplfw422ipx4mem7dkbjz7w,False
fermunozm.bsky.social,Fernando Munoz  🦋,did:plc:rg7oprpb5ap2xvh3tozbvwza,False
primator.bsky.social,Dr. Who,did:plc:thetw5mbjmg6o6524qbiifna,False
rickaclaus.bsky.social,Rick A Claus,did:plc:n3c4tnrgusjzru4m37nuzfpy,False
vickypantop.bsky.social,Victoria☀️🌊🌎☮️🌻🧬🔭✨,did:plc:7z7rvyivfieikpfzlv2qgrgd,False
