Handle,Display Name,DID,Follows Me
793791.bsky.social,Li Yan,did:plc:xjymkbgsi7mvzztlwzeb3uqe,True
liafinx.bsky.social,Lia Finx,did:plc:5vs6pcjscqj63e6khghmskxj,True
jamierichards3269.bsky.social,Jamie Richards,did:plc:a5ovqo6qoevx6uukgt4njvbg,True
gorubenruben.bsky.social,Ruben Garcia,did:plc:v6tl57mfa4wzqemwmggllgov,True
love-and-light.bsky.social,,did:plc:xofm7z7oqnx43w52lrm652ic,True
treadres.bsky.social,Theprogressive,did:plc:ami7o3cslvxmc3utm523o2go,True
kimfranken.bsky.social,Kimberly Franken,did:plc:c22fl7y7lunfkwkuhhfke3jv,True
amina886.bsky.social,Amina,did:plc:griy5wy2ctiof6twrvqflseb,True
orvillethomas5.bsky.social,Orville D. Thomas,did:plc:ias5mbsiavbz35naag3vpgjl,True
saikou1k.bsky.social,,did:plc:h7eihevqavo6lld6jpuawbba,True
radreefer420.bsky.social,RadReefer420,did:plc:j6s2lf34at5mkv5niwg3g6b7,True
denbearorourke.bsky.social,Den O Rourke,did:plc:wwh77zub6lb3zgt2fmdedefb,True
jenny1023.bsky.social,Jenny,did:plc:2tw7wk4gquzz6vulxxifghss,True
sandrabullock11.bsky.social,,did:plc:mgugq3mhtxkt3sx3dmteivrk,True
danielle012.bsky.social,Danielle Mathew,did:plc:p2ussg2n37ntoyv7s4sqq5yb,True
blake07.bsky.social,b1,did:plc:fvt36yis3erlonmrsy7c6blh,True
emilymackey.bsky.social,Emily Mackey🦋,did:plc:if4fnsnawgnr7rsvxadsqbuq,True
joyl26.bsky.social,,did:plc:bun4aekvfkujwomnlugnln4g,True
nancyrn.bsky.social,Nancy RN,did:plc:li6zscznzrah5ld3iqsn4fsk,True
muh2893116.bsky.social,Buba Janneh,did:plc:sobg4x63ev6awvhvdqloyoxk,True
theangrydonkey.bsky.social,Angry Donkey News,did:plc:6kv5inxd5x4tuydxlob27f36,True
lexusvnexus.bsky.social,LexusNexus,did:plc:oh55b34dlwjph7nmbtjucjcf,True
forsakenking.bsky.social,Forsaken,did:plc:fh4kvqabulsywioetgek7bd5,True
linna3.bsky.social,,did:plc:eqqhldzmuwlzt74s7jzicxqz,True
reeveselonmusky.bsky.social,Reeves,did:plc:b4x4xjbppezqiitalgtbilzk,True
dogtrain.bsky.social,,did:plc:q7sxizqcsfvgtju5p72sralb,True
sirrobh.bsky.social,Roberson H Collins,did:plc:zes3qyvtecbpxqycpb4tyg7e,True
bookshelfie.bsky.social,Bookshelfie,did:plc:kthwu6mpwb56qwdm2ipaxciw,True
docchocolate.bsky.social,Doc Chocolate BBC 🦋 SFW Account,did:plc:4xeflzdx7ybkl4wxs7fhv7kc,True
sydneyharris.bsky.social,Bella,did:plc:gcxiuzl5hy5brxwupovhiyum,True
caroharp.bsky.social,Caro Line,did:plc:renloarduonhulwxjqecmmmb,True
