Handle,Display Name,DID,Follows Me
jusancgal46.bsky.social,jusancgal46,did:plc:byeta6iqjj7pjcnjtyrqd56y,False
salc40.bsky.social,,did:plc:hpsdp7nhig7cona2dhgvnusv,False
beckylt.bsky.social,BeckyT,did:plc:xuumbwgrnxc2ehhdzr2e2zzc,True
trueblue77.bsky.social,Linda Mack,did:plc:5uamjwzmbxvbpxkivd42ylei,False
mac1547.bsky.social,,did:plc:iomda2sm33iq3quxz5zwvgmy,True
obie54.bsky.social,,did:plc:f4kisip6y6jdfdj65m52c4l3,False
guillaumelondon.bsky.social,guillaumelondon.bsky.social,did:plc:74p5m4owldmqdvaday77brpt,False
markymark007.bsky.social,MarkyMark007,did:plc:n66pk2rg2pauq7hudzxmw24r,False
joeycuts.bsky.social,,did:plc:6gtsopxa5tbtitwxzt65gflu,False
mikeresists.bsky.social,Mike Resists....often,did:plc:x2vcqz6l54kehxzu2xyr4asq,True
masiellodonna.bsky.social,,did:plc:q7qrt6xnsghudm3fi7t22lth,True
rlpastore.bsky.social,RichardLPastore 🏳️‍🌈📚,did:plc:tchbgwbychfzdxr7bdxk23b6,True
bpboland.bsky.social,,did:plc:mg5ctzjideuvecouibbpxruu,True
annqcape.bsky.social,Ann ☘️🙏🏻😻,did:plc:gbilkyowqzdtk4js2n6dhdwi,True
jamesoaksun.bsky.social,James Oaksun 🟧🆘🌈,did:plc:thtklw634b2fga2kqudya5on,True
melbain.bsky.social,Mel Bain,did:plc:vljv56wwng2ahkgdzhjb7sk5,True
wsc3.bsky.social,Harley O'Jockistan (wsc3),did:plc:csc6gza77w5fne7fxizo352d,False
kycard.bsky.social,,did:plc:2frpkm6akdzdb7vet66qiodz,False
grannylovesall.bsky.social,Grannylovesall,did:plc:m6mkxmz7clxoljtikwkzyx3i,True
thedarkandthelight.bsky.social,,did:plc:xfqjvxciskfjpx2gmql2tllo,False
georgina31.bsky.social,,did:plc:bhrknyx4jaucsuwylk6x5bdd,True
shandiloyola.bsky.social,"Girls Ride, too!",did:plc:e7vxzgnfrmgvrmqhqvd3f4mx,True
mvb2242.bsky.social,turtle 🐢,did:plc:y2o4s2ohox3ex2bj5fwqnocm,True
dizneydon.bsky.social,DizneyDon,did:plc:sg5vax2gkl7spzz4kg7p6p2p,False
mikeyestmikeymike.bsky.social,MikeyestMikeyMike,did:plc:z2axob7r3u6eytj74772vqqy,True
