Handle,Display Name,DID,Follows Me
shg-advisors.bsky.social,Summer Gathercole,did:plc:rmxjoy64zznbdpx7rhw3pao6,True
valwills8.bsky.social,Apple2,did:plc:ev7hpba44lyuzwbdtlwqrqzy,True
vancouverranter.bsky.social,,did:plc:adlnjnvy3nhzsti2kqcnfj5m,True
witcherhollow.bsky.social,Elizabeth ,did:plc:mjw44yozyhhofwwnwqqrim6e,True
sushimacc.bsky.social,,did:plc:5yi5c3pyeas75miavba6adpa,True
doodles12.bsky.social,Doodles,did:plc:gj5kbds6zk2hg6eoueqhvc2j,True
fivelittlemonkees.bsky.social,fivelittlemonkees,did:plc:mllifbzprcashrlb3fe7j3i2,True
dzcat11.bsky.social,Donna,did:plc:ruekfidcr7i6j2ym3oj5obck,True
evansjul56.bsky.social,,did:plc:4gpyxuaqyd74pjy5umqthask,True
thatgirlgm.bsky.social,Lynda Plain,did:plc:2kbkvjofn2xx4mmqouljuxdr,True
mamabigred.bsky.social,,did:plc:eg5czgbojlpgdd2s6o6zs3js,True
geneager.bsky.social,Geneager from Mars,did:plc:5camvlkw3o6xwcfkdb233kim,True
793791.bsky.social,Li Yan,did:plc:xjymkbgsi7mvzztlwzeb3uqe,True
joanbowman.bsky.social,Joan Bowman,did:plc:cn6bacwzey6uuedaxzudavvl,True
ladybeauty18.bsky.social,🦋 Nae 🦋,did:plc:6vrzlgzc4mgrxznr32imecwe,True
liafinx.bsky.social,Lia Finx,did:plc:5vs6pcjscqj63e6khghmskxj,True
jasminewaterdragon.bsky.social,Jasminewaterdragon ,did:plc:5pphgdir45a77ap5cgei3plr,True
u134.bsky.social,Ivy Solace,did:plc:xm425chgxczdmpits2anxrda,True
latebloomer2015.bsky.social,,did:plc:r7scse733iq6cqzq7yiqdlma,True
dreedman.bsky.social,,did:plc:q3lu3gc4wkxl57xibru2p6ba,True
bluethevote.bsky.social,bluethevote,did:plc:tkxv7zvkuyqjl4ukkp4fl3xw,True
jamierichards3269.bsky.social,Jamie Richards,did:plc:a5ovqo6qoevx6uukgt4njvbg,True
gorubenruben.bsky.social,Ruben Garcia,did:plc:v6tl57mfa4wzqemwmggllgov,True
love-and-light.bsky.social,,did:plc:xofm7z7oqnx43w52lrm652ic,True
joannelurgio.bsky.social,@joannelurgio.bsky.social,did:plc:mmacae63s3lhqe56buncxcez,True
bluebeckyd.bsky.social,Becky Donnici,did:plc:afzkahikqnovux2dtdjn27wp,True
smashfascism.bsky.social,Joe Lyford,did:plc:meeqbeiewfvu7vulbqu25zeg,True
jjmac8103.bsky.social,,did:plc:3igfeb4rwawuekc3t6ojtwwh,True
bluegenxer.bsky.social,Sleepless in Seattle,did:plc:oomdcrhmgzcwhd2fs2wrwqgu,True
alix24.bsky.social,,did:plc:xlefh3jhep6yvernszgc4jsl,True
matt95073.bsky.social,Pacer,did:plc:kacttqdixlobp2apwxrvuxd6,True
treadres.bsky.social,Theprogressive,did:plc:ami7o3cslvxmc3utm523o2go,True
runningincircles.bsky.social,"Running in Circles, slowly",did:plc:ilfeobgdxjswk6w7pqou2l26,True
chercat208.bsky.social,,did:plc:updbjzwb3jhcr4imu2xctwqg,True
rico59.bsky.social,,did:plc:clgnohr76d2f6fwppfoteo7n,True
patriciakreger.bsky.social,Patricia Kreger,did:plc:hza6iuhebytkg7knhsns77pd,True
hachezbrad.bsky.social,Brad Hachez,did:plc:tz4sqkjf456h5sq7jl7i66yq,True
chipturner.bsky.social,"Live, Love, Laugh",did:plc:ykcyhjkdcl7voihn4clvrloo,True
bmoon21.bsky.social,,did:plc:brjohcrcf3ehpgq7m54bqyma,True
kimfranken.bsky.social,Kimberly Franken,did:plc:c22fl7y7lunfkwkuhhfke3jv,True
amina886.bsky.social,Amina,did:plc:griy5wy2ctiof6twrvqflseb,True
technicallycam.bsky.social,,did:plc:6hyeo2rryguruujh3tcwgc5n,True
shellyg92.bsky.social,Shelly G.,did:plc:ffohmtk77mqu2juazaflffc4,True
orvillethomas5.bsky.social,Orville D. Thomas,did:plc:ias5mbsiavbz35naag3vpgjl,True
monkeyshine822.bsky.social,Jenny From The Block,did:plc:p2uzihp626ftddkwfhehooci,True
lafleurmtl.bsky.social,Daniel Lafleur Baron de Cadillac ,did:plc:5zsnc6yfhxi2i3lwdwvbdt34,True
jayhawk4family.bsky.social,,did:plc:a5oao4e7bydn7cec77g3cuus,True
saikou1k.bsky.social,,did:plc:h7eihevqavo6lld6jpuawbba,True
conniedyg.bsky.social,Connie Groh,did:plc:sol5q3nd6jxd5qolyt6b33wz,True
tkuenzli.bsky.social,Thomas Kuenzli ,did:plc:nf45foq6gn4nokcvojif6e3p,True
barblahs.bsky.social,Armageddon Army the German Shepherd Dog,did:plc:dww3bzawcpjiiljefk3gv4zx,True
marymacswiney.bsky.social,,did:plc:ruvgerhjnayudxa4ykr33ijv,True
98642.bsky.social,Lisa,did:plc:2tr6q4h2jeexyrre56fcuofj,True
susank9832.bsky.social,,did:plc:mpcgyxh6574vg6psoealtilw,True
shelleyathome.bsky.social,Shelley,did:plc:mdrpxaoexlnvmwauoej25rod,True
ppiluk.bsky.social,Playing Bass and Taking Names 🇨🇦❤️🇺🇦,did:plc:gajmubigx5w5cqb5su2moz7y,True
lee-roges.bsky.social,Lee Roges,did:plc:pisgee26wtrhngktakcczzkg,True
tresblue.bsky.social,Tresblue,did:plc:rw7g4meafdipqxxbj2vgeaef,True
joansilv.bsky.social,JoanS,did:plc:zkigcqjozdjixslwtqh5e2x7,True
crazybirdladyruth.bsky.social,,did:plc:ad5bbyvro2hjzwphatpput72,True
ralphe.bsky.social,RalphE,did:plc:hacswk6tkc4pgjqbwur3ek7h,True
dschaumberger.bsky.social,Dave ,did:plc:6rk4hrx72jywina52bwzchph,True
noone66.bsky.social,M,did:plc:g55vyipf2i5b2zlqk25oeak3,True
katyrat.bsky.social,Kayla,did:plc:gubr3xlgvgeiyd6snrtkrvdg,True
pearlpolanski.bsky.social,Pearl Polanski,did:plc:33bothrlwynggzlofsnpldpl,True
radreefer420.bsky.social,RadReefer420,did:plc:j6s2lf34at5mkv5niwg3g6b7,True
denbearorourke.bsky.social,Den O Rourke,did:plc:wwh77zub6lb3zgt2fmdedefb,True
mcbf.bsky.social,Undivided@bsky,did:plc:a6dj6lzjm5jmeg6fwq574o6q,True
laresistancenow.bsky.social,@LAResistanceNow,did:plc:zz7ozonihufxnpkwowhz5t4i,True
northbayted.bsky.social,North Bay Ted,did:plc:7mhw4tnwfykobv4wlapnchmu,True
kathywho.bsky.social,,did:plc:yhycvakpn7glfabw4vlsfxae,True
saltygirl312.bsky.social,,did:plc:p2mvlz6uzjw72tst4eumkyaq,True
jenny1023.bsky.social,Jenny,did:plc:2tw7wk4gquzz6vulxxifghss,True
claireduncan.bsky.social,Claire,did:plc:mbwfsc33ezkz4ivd5skj4mdt,True
sandrabullock11.bsky.social,,did:plc:mgugq3mhtxkt3sx3dmteivrk,True
danielle012.bsky.social,Danielle Mathew,did:plc:p2ussg2n37ntoyv7s4sqq5yb,True
felipefrigo-23.bsky.social,,did:plc:lrosr35iwd5o4kppt2sxw7t4,True
blake07.bsky.social,b1,did:plc:fvt36yis3erlonmrsy7c6blh,True
emilymackey.bsky.social,Emily Mackey🦋,did:plc:if4fnsnawgnr7rsvxadsqbuq,True
divedoc.bsky.social,DiveDoc,did:plc:bkz5iy23uveimdkeinwm42a2,True
djtsucksdick.bsky.social,Trump is a convicted felon,did:plc:nrxjkrh2cgqtimi7jd32r2pw,True
scottiedadg.bsky.social,GreggPhoto,did:plc:gzpo5pxsmj2ckixtgzmevbbn,True
cuckoldressv.bsky.social,The Venus Cuckoldress Podcast,did:plc:viaoozjk5rj3mqgxcltr2nbq,True
polpotbrownies.bsky.social,,did:plc:xtt4nqjjrnsjevqyk7ur76r6,True
itsme-sandy.bsky.social,Sandy Love,did:plc:txevexbh3i7rn375g54ac6lj,True
hellzbelllz.bsky.social,HellzBellz,did:plc:juoyfeva7r37fwu5j7ntz5id,True
gracep1971.bsky.social,,did:plc:vumbkpf6nww7etcjbfckprqy,True
rainydana.bsky.social,Dana Batista,did:plc:qvbtc5uq5znx7vdjhthqwmk7,True
thats-prof-crone.bsky.social,Dawn,did:plc:kymf2fltg6sn56isn4djt3ms,True
itsneveramannequin.bsky.social,,did:plc:zsjvm34crrc62ugibwuysrg5,True
chuckeddy.bsky.social,Chuck Eddy,did:plc:vydtbndg2otolerhpbwq4e5j,True
jmd1947.bsky.social,,did:plc:6ssom6uwieq7fhvopfqdixbr,True
nmftgn.bsky.social,,did:plc:75szmyau7k7dse76xu2mhhhq,True
lil-varin.bsky.social,,did:plc:ptctpnq5ebhv6w2goaed3hxo,True
joyl26.bsky.social,,did:plc:bun4aekvfkujwomnlugnln4g,True
rbgprevails.bsky.social,Essence of RBG,did:plc:k2qssxqi55xwjvjo6vjqb2mr,True
darrylsmith.bsky.social,DarrylSmith42,did:plc:eq5mnw2j5cig5udu7xyaoynm,True
badmoonrising821.bsky.social,MellynaS,did:plc:prsqudiyswba46ifk4jz2vdb,True
delcodadlife.bsky.social,DelcoDadLife,did:plc:iwntqe4ewk4ffyrznqduay5u,True
leemidi.bsky.social,,did:plc:n2tccpvi5vhn27nll25do3ty,True
mikean.bsky.social,Mike Anderson,did:plc:jw32ijunaqydoyucslndc7au,True
godobe.bsky.social,Go.Do.Be.,did:plc:bailfsscijwpvfttacq5t5a7,True
michaela2550.bsky.social,,did:plc:xnwv467naxb7yjauxdqjs3ii,True
johnzhangsv.bsky.social,JohnZhangSV,did:plc:rqmamsksbfjw6yrk7zdjf2qz,True
chwayi.bsky.social,,did:plc:a6zjwlbvsussbb2fnjxfb5fc,True
vikingtman.bsky.social,,did:plc:5i4tdtvhkxn36434yb7e56pm,True
nycbound.bsky.social,,did:plc:pwbvsd6zloybmyqqkj34offb,True
wallflower2323.bsky.social,Wallflower2323,did:plc:7qalibmdvgingkzwrxykeepc,True
suspack.bsky.social,SUSPACK,did:plc:exqj5di6rfqxqau65jb4wbkd,True
nancyrn.bsky.social,Nancy RN,did:plc:li6zscznzrah5ld3iqsn4fsk,True
saltyinnj.bsky.social,,did:plc:xezesa42j6xttyboasail3z7,True
notaboomer1.bsky.social,Peter Kop,did:plc:hflwctyobbxn7cfvnbn4vqn3,True
ponydog.bsky.social,Pony Dog,did:plc:udymmziwpjc6hpdo3axqhtuo,True
doxiebaby.bsky.social,Doxiebaby,did:plc:ghpmyfk3sqmpnhughptybqko,True
tomironranger.bsky.social,,did:plc:ktrvfe6cugdyyeol3pz6bkdo,True
iheartsmegma.bsky.social,Not Steven Cheung,did:plc:dkvdf64fyy7tsw3dzykr7ftm,True
daedrynn.bsky.social,Daedrynn,did:plc:sgm2xtkuppmdgervv52oevuz,True
boom-in-detroit.bsky.social,,did:plc:m6k2fc2l24lx3j25lshioywv,True
muh2893116.bsky.social,Buba Janneh,did:plc:sobg4x63ev6awvhvdqloyoxk,True
stevenblackwood.bsky.social,Steven Blackwood,did:plc:ydknck4ohp2ceeoqttvnqt73,True
bri-meads.bsky.social,Bri Meads,did:plc:5jhgc5evvxberav3wxtfxoc2,True
jajabar.bsky.social,,did:plc:cwb3lhse7wmutnreskhcmusa,True
theangrydonkey.bsky.social,Angry Donkey News,did:plc:6kv5inxd5x4tuydxlob27f36,True
lexusvnexus.bsky.social,LexusNexus,did:plc:oh55b34dlwjph7nmbtjucjcf,True
forsakenking.bsky.social,Forsaken,did:plc:fh4kvqabulsywioetgek7bd5,True
navytrueblue.bsky.social,,did:plc:k76uhi3noruujo6omdh3nlgx,True
enigma8750.bsky.social,Enigma8750,did:plc:lvs2rrkrj6usatuglfukwoea,True
trosx4.bsky.social,,did:plc:2bikdp3o5zkuqfmqwgtmi3ao,True
elloko49.bsky.social,El Loko,did:plc:ah26lllarstt2wefvfoalb6m,True
redvixen.bsky.social,Rachael,did:plc:dnqs6ndlw3m73riaib7yz6ey,True
lisasea.bsky.social,LisaSea👩‍🎤,did:plc:z5ztobpmypm5cf3gwan5uqzk,True
linna3.bsky.social,,did:plc:eqqhldzmuwlzt74s7jzicxqz,True
bonysssbitch.bsky.social,,did:plc:5l5ccixoekmnxfrnuki3wzwt,True
democracyvoter.bsky.social,,did:plc:o2ubipjcrnz4m7qlo53rod3j,True
mommabard.bsky.social,Mommabard,did:plc:lme4porte23ocb2jyxrrki26,True
barriaya.bsky.social,,did:plc:d6lbmt7foykqugpvykz3x2ii,True
whrldpeas.bsky.social,WhrldPeas,did:plc:ket56234mx7gvd64qyvb6gl4,True
bskyemilys.bsky.social,Emily Escher Smith,did:plc:r66jxlek7m5zaoay7cgij7rb,True
catsailor563.bsky.social,Catsailor563,did:plc:2lmfjtfk4j5wirf2n3bggu7g,True
betbet2626.bsky.social,Bet Moore,did:plc:ffpsp3hd7v7htrouqv6ivw6f,True
bensanderson.bsky.social,Avoiding Las Vegas,did:plc:pdis2k4dvn5mg6zv625wqbij,True
keysviews.bsky.social,Keys Views 🌅,did:plc:fwujpypt6sqbf5ykoepuqzzl,True
cpauley32.bsky.social,,did:plc:dnzkkof2dc4s66ghi65ywuyu,True
constancecraven.bsky.social,Constance Craven,did:plc:2qt3n5e2a6ecsucnmh6fqcwn,True
twagz20.bsky.social,Tim Wager,did:plc:ozs6hkvcmar6h2vt26arix4f,True
pkolbenschlag.bsky.social,Reluctant Navigator,did:plc:b2oxqnhs4zlcedosodmulseg,True
reeveselonmusky.bsky.social,Reeves,did:plc:b4x4xjbppezqiitalgtbilzk,True
critcalthinker.bsky.social,Critical Thinker,did:plc:y6tzc5yjribpwfvmx3mhleay,True
jtowlen.bsky.social,jtowlen,did:plc:7b6dyifsalerdbhy62fml576,True
skivoodoo.bsky.social,,did:plc:v7zdf7uuiepr23zg7oren6mg,True
vikingfisher.bsky.social,Vikingfisher,did:plc:viziagwywh6qx42s2ut5bssp,True
