Handle,Display Name,DID,Follows Me
scottsantens.com,Scott Santens,did:plc:weypikbrwodr2fsanloqjx6s,False
martinjones.bsky.social,Martin Jones,did:plc:izncc4kem22rpcctfi2cx4gs,False
minetodo.bsky.social,Cynthia Johnson,did:plc:f2wfv5pxxmyajeoq57xe5mbe,False
gazza.bsky.social,Gary Evans,did:plc:z2umejgn6evsijrr4qgk4tfa,False
bladerunner64.bsky.social,ロイド,did:plc:tbykzqmcwkiqdpnwqekmf6gd,False
ericrsports.bsky.social,Eric Rodgers,did:plc:qlsbmwtzmqady3yjq2bgpeke,False
ottlegalrebels.bsky.social,Marc-Roger Gagné MAPP,did:plc:orxfnrzvaq6sykhklw4g6bxl,False
fanzo.bsky.social,Fanzo,did:plc:qpy4xitx5kx7yn7h6y2vgqss,False
interist222.bsky.social,,did:plc:dicw53ng34dhhgnulpbwrle5,False
karinschall.bsky.social,Karin Schall,did:plc:76b3bizgwgt7m42fdafi6jts,False
vtgal.bsky.social,Joanne in Boston,did:plc:xg4z7kdwqbohlwla36ijarw6,False
cderouen.bsky.social,Christopher,did:plc:xrsv7fsbam5cvqyh4mb2ir2y,False
suppleml67.bsky.social,MLSupple,did:plc:z3lil7hj3jloch4r3owljui5,False
thinker2thinker.bsky.social,Jules 🌻,did:plc:law6v432sq4h3f3m3bkpviox,False
readingevermore.bsky.social,Kerri (Taylor's Version),did:plc:olkgiey7rcvlzrkw6ot3idmi,False
marpausag.bsky.social,,did:plc:auvisi3mvpdqguv3gq6txx3y,False
aejmn1969.bsky.social,AEJMN1969,did:plc:dj2lgbvcgc7mvlyapw7trupl,False
hokienclt.bsky.social,HokienCLT,did:plc:pmapddyzebcow57zaxzwmtlw,True,2024-11-18 14:51:38.092010+00:00
fuzzysocialist.bsky.social,🔷🔷🔷The Fuzzy Socialist🔷🔷🔷,did:plc:3qvla7ztqkddblju44zb42wa,True,2024-11-18 14:51:38.092019+00:00
saharismail.bsky.social,Sahar in Gaza 🍉☁️🕊️🇵🇸,did:plc:rbbd2knnptgx6ciblfdjqexm,True,2024-11-18 14:51:38.092021+00:00
andyf2-1.bsky.social,Andy - Scotsman back home 2,did:plc:hm7uppjqwrpkiwjf2i7jouqo,True,2024-11-18 14:51:38.092022+00:00
rayleengale.bsky.social,💙 Gale 💙,did:plc:qqptrxcw67qowq5ownlmzvvh,True,2024-11-18 14:51:38.092024+00:00
valentinestoyou.bsky.social,Valentine💌,did:plc:ivnng65hqav6x2oce6vdfe5v,True,2024-11-18 14:51:38.092026+00:00
therougerogue.bsky.social,The Rouge Rogue,did:plc:hyqkq5aow6x4gryj2u4zeqw2,True,2024-11-18 14:51:38.092028+00:00
writerharrison.bsky.social,writerharrison,did:plc:wjrttdlnmisymbu4xeab5uuj,True,2024-11-18 14:51:38.092029+00:00
babeblade.bsky.social,Eva,did:plc:xr23uulolh4snkpwwxqrpcfy,True,2024-11-18 14:51:38.092031+00:00
stevecapa.bsky.social,Steve,did:plc:arq2y2avwvvrpryi25ozodii,True,2024-11-18 14:51:38.092032+00:00
judyds.bsky.social,,did:plc:s6imebq7jloiho2vqqbqv573,True,2024-11-18 14:51:38.092034+00:00
alnoncomposmentis.bsky.social,Al 🌊🐶🐱🏈⛳️⚾️,did:plc:rqchceukm5u2ot5wldskqgw6,True,2024-11-18 14:51:38.092035+00:00
lstl.bsky.social,Lstl,did:plc:ecdj4bp7sge7u3ud32q2k2oz,True,2024-11-18 14:51:38.092036+00:00
quartersnpaints.bsky.social,Whatever happened??,did:plc:py5sbzlmjh36fptes7sxvj2e,True,2024-11-18 14:51:38.092038+00:00
chronicimage.bsky.social,Chronic Image TM,did:plc:srd5joe5k5sa6vjx2bgfmkk6,True,2024-11-18 14:51:38.092039+00:00
